user_id,activityLoop_id,interactionTime
28578,3,"2017-08-22 22:13:35"
28642,4,"2017-08-22 22:16:45"
28663,4,"2017-08-22 22:32:27"
28663,4,"2017-08-22 22:35:32"
28663,4,"2017-08-22 22:37:04"
28663,9,"2017-08-22 22:37:18"
28663,4,"2017-08-22 22:39:38"
28657,4,"2017-08-22 22:43:19"
28578,4,"2017-08-22 23:32:50"
28578,4,"2017-08-22 23:36:15"
28578,5,"2017-08-22 23:36:28"
28578,9,"2017-08-22 23:37:00"
28578,4,"2017-08-22 23:37:00"
28578,4,"2017-08-22 23:39:08"
28578,4,"2017-08-22 23:41:16"
28578,4,"2017-08-22 23:48:30"
28578,9,"2017-08-22 23:48:50"
28578,4,"2017-08-22 23:48:51"
28578,4,"2017-08-22 23:52:04"
28578,4,"2017-08-22 23:55:49"
28578,9,"2017-08-22 23:58:56"
28578,1,"2017-08-22 23:58:57"
28578,4,"2017-08-22 23:58:57"
28578,4,"2017-08-23 00:02:14"
28601,4,"2017-08-23 05:54:39"
28601,9,"2017-08-23 05:56:36"
28601,4,"2017-08-23 05:56:36"
28601,4,"2017-08-23 06:00:40"
28521,4,"2017-08-23 06:22:41"
28521,9,"2017-08-23 06:37:13"
28521,4,"2017-08-23 06:37:13"
28521,4,"2017-08-23 06:40:18"
28562,9,"2017-08-23 06:44:20"
28562,4,"2017-08-23 06:44:20"
28562,4,"2017-08-23 06:45:40"
28562,4,"2017-08-23 06:47:00"
28562,9,"2017-08-23 06:47:29"
28562,1,"2017-08-23 06:47:30"
28562,4,"2017-08-23 06:47:30"
28521,4,"2017-08-23 06:47:31"
28521,9,"2017-08-23 06:48:24"
28521,4,"2017-08-23 06:48:25"
28562,4,"2017-08-23 06:48:45"
28562,4,"2017-08-23 06:51:04"
28562,4,"2017-08-23 06:52:51"
28562,4,"2017-08-23 06:54:33"
28562,4,"2017-08-23 06:55:05"
28562,4,"2017-08-23 06:55:22"
28562,2,"2017-08-23 06:55:22"
28562,20,"2017-08-23 06:55:22"
28521,4,"2017-08-23 06:58:56"
28554,4,"2017-08-23 06:59:56"
28562,4,"2017-08-23 07:00:16"
28554,4,"2017-08-23 07:02:20"
28562,16,"2017-08-23 07:06:26"
28604,4,"2017-08-23 07:10:35"
28554,4,"2017-08-23 07:13:02"
28554,1,"2017-08-23 07:14:21"
28554,4,"2017-08-23 07:14:21"
28604,4,"2017-08-23 07:15:30"
28554,4,"2017-08-23 07:17:10"
28604,9,"2017-08-23 07:17:43"
28604,4,"2017-08-23 07:17:43"
28604,4,"2017-08-23 07:20:36"
28604,4,"2017-08-23 07:21:43"
28604,4,"2017-08-23 07:23:49"
28554,4,"2017-08-23 07:26:19"
28604,1,"2017-08-23 07:27:23"
28604,4,"2017-08-23 07:27:23"
28578,4,"2017-08-23 07:32:36"
28604,4,"2017-08-23 07:33:40"
28604,4,"2017-08-23 07:36:28"
28578,4,"2017-08-23 07:36:33"
28578,9,"2017-08-23 07:38:17"
28578,4,"2017-08-23 07:38:18"
28578,4,"2017-08-23 07:38:36"
